query,intent
Give me 10 days status of <PERSON>.,status_number
Show pending work from home requests of <PERSON>.,pending_wfh
Give me 10 days status of <PERSON>.,status_number
Show pending work from home requests of <PERSON>.,pending_wfh
Show leave balance of <PERSON>.,leave_balance
Show pending leave requests of <PERSON>.,pending_leave
Provide 7 days attendance of all employees.,all_attendance_number
Show today status of all employees.,all_today_status
Give me 5 days status of <PERSON>.,status_number
What is yesterday attendance of <PERSON>?,yesterday_attendance
Provide 10 days attendance of all employees.,all_attendance_number
Show today announcements.,today_announcement
Show leave balance of <PERSON>.,leave_balance
Show leave balance of <PERSON>.,leave_balance
give me the leave balance of <PERSON>,leave_balance
Show leave balance of <PERSON>.,leave_balance
Show yesterday leave details of all employees.,all_yesterday_leave
Show announcements for all employees.,all_announcement
Show yesterday status of all employees.,all_yesterday_status
What is leave status of <PERSON>?,leave
Show today work from home details of all employees.,all_today_wfh
What is work from home status of <PERSON>?,wfh
Provide 7 days status of all employees.,all_status_number
Show pending work from home requests of <PERSON>.,pending_wfh
Show leave balance of <PERSON> ,leave_balance
What is tomorrow status of <PERSON>?,tomorrow_status
Show announcements.,announcement
Show yesterday announcements.,yesterday_announcement
What is today leave status of <PERSON>?,today_leave
Show pending work from home requests of <PERSON>.,pending_wfh
Show pending leave requests of <PERSON>.,pending_leave
Provide 5 days status of all employees.,all_status_number
Show pending leave requests of <PERSON>.,pending_leave
Show pending work from home requests of <PERSON>.,pending_wfh
give me the leave balance of <PERSON>,leave_balance
Show leave balance of all employees.,all_leave_balance
Show tomorrow leave details of all employees.,all_tomorrow_leave
Give me 10 days status of <PERSON>.,status_number
What is yesterday leave status of <PERSON>?,yesterday_leave
Show tomorrow work from home details of all employees.,all_tomorrow_wfh
Show work from home details of all employees.,all_wfh
What is today attendance of <PERSON>?,today_attendance
Show yesterday announcements for all employees.,all_yesterday_announcement
Show today announcements for all employees.,all_today_announcement
What is tomorrow attendance of <PERSON>?,tomorrow_attendance
What is today work from home status of <PERSON>?,today_wfh
Show pending leave requests of <PERSON>.,pending_leave
Give me 10 days status of <PERSON>.,status_number
Show today leave details of all employees.,all_today_leave
What is attendance of <PERSON>?,attendance
What is yesterday attendance of <PERSON>?,yesterday_attendance
Give me 7 days status of <PERSON>.,status_number
