query,intent
Give me last 5 days status of <PERSON>,status_number
Give me 7 days status of <PERSON>,status_number
Give me 10 days status of <PERSON>,status_number
Show last 5 days status of <PERSON>,status_number
Show 7 days status of <PERSON>,status_number
Show 10 days status report of <PERSON>,status_number
Get last 5 days status of <PERSON>,status_number
Get 6 days work status of <PERSON>,status_number
Fetch 8 days status report of <PERSON>,status_number
Display 4 days status of <PERSON>,status_number
I want last 5 days status of <PERSON>,status_number
I want 7 days status report of <PERSON>,status_number
I need 10 days status of <PERSON>,status_number
I need last 6 days work report of <PERSON>,status_number
Can you show 5 days status of <PERSON>,status_number
Can you get last 7 days status of <PERSON>,status_number
Please give 10 days status of <PERSON>,status_number
Please show last 8 days work status of <PERSON>,status_number
Provide 5 days status report of <PERSON>,status_number
Provide last 7 days update of <PERSON>,status_number
Show me 5 days status of <PERSON>,status_number
Show me last 10 days work report of <PERSON>,status_number
Get me 6 days status details of <PERSON>,status_number
Display last 5 days status report of <PERSON>,status_number
Status report of <PERSON> for 5 days,status_number
Status report of <PERSON> for last 7 days,status_number
Work status of <PERSON> for 10 days,status_number
Work update of <PERSON> for last 6 days,status_number
5 days status of <PERSON>,status_number
Last 7 days status of <PERSON>,status_number
10 days work report of <PERSON>,status_number
<PERSON> last 5 days status,status_number
<PERSON> 7 days status report,status_number
<PERSON> 10 days work update,status_number
Show <PERSON> last 5 days status,status_number
Get <PERSON> 7 days status report,status_number
I want <PERSON> 5 days status report,status_number
Give <PERSON> last 10 days work details,status_number
How is <PERSON>'s status for 5 days,status_number
What is the last 7 days status of <PERSON>,status_number
Show pending work from home requests of <PERSON>,pending_wfh
Show pending work from home requests of <PERSON>,pending_wfh
List pending work from home applications of <PERSON>,pending_wfh
Display <PERSON> pending work from home requests,pending_wfh
Get pending work from home requests for <PERSON>,pending_wfh
Check pending work from home status of <PERSON>,pending_wfh
How many pending work from home requests does <PERSON> have?,pending_wfh
Show me <PERSON> pending work from home approvals,pending_wfh
Fetch pending work from home details of <PERSON>,pending_wfh
Give pending work from home report of <PERSON>,pending_wfh
Pending work from home requests for <PERSON>,pending_wfh
What are the pending work from home requests of <PERSON>?,pending_wfh
List all pending work from home of <PERSON>,pending_wfh
Show <PERSON> pending work from home records,pending_wfh
Retrieve pending work from home entries of <PERSON>,pending_wfh
Is there any pending work from home request for <PERSON>?,pending_wfh
Display all pending work from home forms of <PERSON>,pending_wfh
Show outstanding work from home requests of <PERSON>,pending_wfh
Pending work from home applications of <PERSON>,pending_wfh
Give me pending work from home details for <PERSON>,pending_wfh
Show pending work from home requests of <PERSON>,pending_wfh
Show pending WFH requests of <PERSON>,pending_wfh
Show pending remote work requests of <PERSON>,pending_wfh
Show pending home working requests of <PERSON>,pending_wfh
List pending work from home applications of <PERSON>,pending_wfh
List pending WFH applications of <PERSON>,pending_wfh
Check pending remote work status of <PERSON>,pending_wfh
Display <PERSON> pending home working requests,pending_wfh
Get pending WFH approvals for <PERSON>,pending_wfh
Pending remote work requests for <PERSON>,pending_wfh
Is there any pending WFH request for <PERSON>?,pending_wfh
Show remote work requests waiting for approval of <PERSON>,pending_wfh
Show home working requests not yet approved for <PERSON>,pending_wfh
Show approved work from home requests of <PERSON>,approved_wfh
Show approved WFH requests of <PERSON>,approved_wfh
List approved remote work applications of <PERSON>,approved_wfh
Display approved home working requests of <PERSON>,approved_wfh
Get approved WFH details for <PERSON>,approved_wfh
Approved remote work requests for <PERSON>,approved_wfh
Show WFH requests approved for <PERSON>,approved_wfh
Check approved home working status of <PERSON>,approved_wfh
Has <PERSON> got any approved WFH requests?,approved_wfh
Show approved work from home report of <PERSON>,approved_wfh
Show rejected work from home requests of <PERSON>,rejected_wfh
Show rejected WFH requests of <PERSON>,rejected_wfh
List rejected remote work applications of <PERSON>,rejected_wfh
Display rejected home working requests of <PERSON>,rejected_wfh
Get rejected WFH details for <PERSON>,rejected_wfh
Rejected remote work requests for <PERSON>,rejected_wfh
Check rejected home working status of <PERSON>,rejected_wfh
Has <PERSON> any rejected WFH request?,rejected_wfh
Show declined work from home requests of <PERSON>,rejected_wfh
Show remote work requests that were not approved for <PERSON>,rejected_wfh
Show all work from home requests of <PERSON>,all_wfh
Show all WFH requests of <PERSON>,all_wfh
List all remote work applications of <PERSON>,all_wfh
Display all home working requests of <PERSON>,all_wfh
Get complete WFH history of <PERSON>,all_wfh
Show entire remote work report of <PERSON>,all_wfh
Give full home working details of <PERSON>,all_wfh
Show WFH records of <PERSON>,all_wfh
Fetch all remote work entries of <PERSON>,all_wfh
Work from home history of <PERSON>,all_wfh
Show leave status of <PERSON>,leave_status
Show leave details of <PERSON>,leave_status
Check leave balance of <PERSON>,leave_status
Display leave report of <PERSON>,leave_status
Get leave summary of <PERSON>,leave_status
How many leaves does <PERSON> have?,leave_status
Show leave information of <PERSON>,leave_status
Leave history of <PERSON>,leave_status
Give leave balance report of <PERSON>,leave_status
Show total leaves taken by <PERSON>,leave_status
Show today attendance of <PERSON>,attendance_today
Is <PERSON> present today?,attendance_today
Show today attendance status of <PERSON>,attendance_today
Display today clock in and clock out of <PERSON>,attendance_today
Check if <PERSON> logged in today,attendance_today
Get today working hours of <PERSON>,attendance_today
Show today's attendance report of <PERSON>,attendance_today
Has <PERSON> marked attendance today?,attendance_today
Show today login details of <PERSON>,attendance_today
Show today office attendance of <PERSON>,attendance_today
Show leave balance of <PERSON>,leave_balance
Show <PERSON> leave balance,leave_balance
Display leave balance of <PERSON>,leave_balance
Get leave balance of <PERSON>,leave_balance
Check leave balance of <PERSON>,leave_balance
What is the leave balance of <PERSON>?,leave_balance
How many leaves are remaining for <PERSON>?,leave_balance
How many leaves does <PERSON> have left?,leave_balance
Remaining leaves of <PERSON>,leave_balance
Show remaining leave count of <PERSON>,leave_balance
Give leave balance report of <PERSON>,leave_balance
Show available leaves for <PERSON>,leave_balance
Available leave balance of <PERSON>,leave_balance
Show unused leaves of <PERSON>,leave_balance
Leave balance details of <PERSON>,leave_balance
Leave summary of <PERSON>,leave_balance
Total leaves left for <PERSON>,leave_balance
Show leave availability of <PERSON>,leave_balance
Fetch leave balance information of <PERSON>,leave_balance
Can you show leave balance of <PERSON>?,leave_balance
I want to check leave balance of <PERSON>,leave_balance
Please display leave balance for <PERSON>,leave_balance
Give me leave balance for <PERSON>,leave_balance
<PERSON> leave balance,leave_balance
Leave balance <PERSON>,leave_balance
Show leave history of <PERSON>,leave_history
Display leave history of <PERSON>,leave_history
Get leave history for <PERSON>,leave_history
List leave records of <PERSON>,leave_history
Show all leave applications of <PERSON>,leave_history
Give leave history report of <PERSON>,leave_history
Leave history details of <PERSON>,leave_history
Show complete leave history of <PERSON>,leave_history
Fetch leave entries of <PERSON>,leave_history
Leave record summary of <PERSON>,leave_history
Show pending leaves of <PERSON>,leave_pending
Display pending leave requests of <PERSON>,leave_pending
List pending leave applications of <PERSON>,leave_pending
Get pending leave status of <PERSON>,leave_pending
Show leaves waiting for approval for <PERSON>,leave_pending
Pending leave details of <PERSON>,leave_pending
Is there any pending leave for <PERSON>?,leave_pending
Show unapproved leave requests of <PERSON>,leave_pending
Check pending leave count of <PERSON>,leave_pending
Pending leave report of <PERSON>,leave_pending
Show approved leaves of <PERSON>,leave_approved
Display approved leave requests of <PERSON>,leave_approved
List approved leave applications of <PERSON>,leave_approved
Get approved leave status of <PERSON>,leave_approved
Show leaves approved for <PERSON>,leave_approved
Approved leave details of <PERSON>,leave_approved
Has <PERSON> got approved leaves?,leave_approved
Show confirmed leave requests of <PERSON>,leave_approved
Check approved leave history of <PERSON>,leave_approved
Approved leave report of <PERSON>,leave_approved
Show rejected leaves of <PERSON>,leave_rejected
